26,27,39
133,122,134
49,151,37
13,14,26
79,67,68
78,77,65
93,92,81
144,132,166
130,129,118
27,14,15
68,80,79
106,94,95
35,36,47
65,66,78
56,67,55
102,90,91
181,8,7
58,46,47
2,171,3
54,67,66
49,153,151
25,149,147
37,149,25
51,64,63
74,73,61
13,1,14
28,41,40
78,66,67
54,42,55
50,51,63
53,40,41
64,76,63
87,86,74
49,62,61
86,87,99
110,109,97
85,86,98
73,74,86
85,97,159
161,109,163
123,134,122
90,101,89
182,140,184
127,126,115
139,127,128
126,125,114
126,114,115
113,101,102
100,87,88
77,64,65
79,90,78
89,88,76
81,82,93
131,120,132
94,93,82
92,80,81
141,129,130
96,95,84
184,141,186
132,164,166
132,120,164
160,162,108
164,120,162
120,108,162
129,141,140
160,108,96
71,72,83
108,120,119
146,148,24
150,36,148
60,72,71
83,95,94
32,20,21
81,70,82
94,106,105
102,114,113
66,53,54
27,15,28
32,21,33
32,33,44
177,179,6
183,9,8
185,10,9
23,12,24
148,36,24
26,14,27
50,49,37
151,149,37
38,50,37
155,73,157
51,50,38
63,62,50
39,40,52
65,53,66
37,25,38
147,13,25
1,145,169
145,13,147
145,1,13
2,1,169
2,14,1
3,15,2
14,2,15
5,4,175
169,171,2
4,17,16
16,28,15
3,16,15
29,30,42
38,39,51
27,28,40
26,39,38
27,40,39
25,26,38
25,13,26
51,52,64
51,39,52
50,62,49
63,75,62
52,65,64
29,41,28
52,53,65
52,40,53
91,103,102
76,64,77
78,89,77
112,113,124
89,76,77
75,63,76
76,88,75
89,101,100
88,87,75
100,101,112
75,74,62
75,87,74
110,98,99
98,86,99
49,61,153
62,74,61
61,155,153
61,73,155
73,85,157
157,85,159
73,86,85
97,161,159
97,109,161
97,98,110
110,122,109
97,85,98
111,122,110
121,163,109
136,124,125
165,163,121
111,110,99
172,170,134
100,112,111
138,137,126
109,122,121
123,112,124
111,123,122
136,125,137
121,122,133
121,133,165
134,135,172
133,167,165
133,134,170
133,170,167
140,182,139
134,123,135
136,137,176
135,174,172
135,136,174
138,126,127
176,137,178
176,174,136
123,124,135
125,113,114
135,124,136
123,111,112
180,138,139
178,137,138
116,127,115
139,138,127
138,180,178
139,182,180
184,140,141
186,141,142
188,186,142
140,139,128
116,128,127
129,140,128
116,117,128
131,132,143
104,116,115
105,93,94
114,103,115
92,93,104
104,103,92
104,115,103
137,125,126
124,113,125
99,100,111
101,113,112
87,100,99
88,89,100
90,102,101
103,114,102
78,90,89
90,79,91
92,91,80
92,103,91
91,79,80
78,67,79
57,58,69
69,70,81
68,69,80
80,69,81
56,44,45
59,58,47
83,94,82
95,107,106
118,106,107
95,96,107
118,117,106
117,116,105
128,117,129
116,104,105
117,105,106
104,93,105
119,131,130
129,117,118
107,119,118
142,141,130
131,142,130
143,188,142
188,143,190
190,143,144
144,168,192
190,144,192
143,132,144
142,131,143
130,118,119
108,119,107
120,131,119
72,84,83
96,108,107
71,83,82
84,95,83
158,96,84
158,160,96
144,166,168
158,84,156
60,154,72
156,84,72
156,72,154
59,60,71
48,152,60
154,60,152
59,48,60
36,150,48
70,59,71
34,35,46
82,70,71
69,58,70
70,58,59
69,68,57
56,57,68
45,34,46
23,35,34
58,57,46
48,47,36
48,59,47
152,48,150
21,10,22
12,146,24
146,12,191
191,12,189
23,11,12
189,12,11
9,10,21
187,11,10
33,22,34
10,11,22
11,23,22
24,36,35
46,35,47
23,24,35
57,45,46
22,23,34
56,45,57
33,34,45
42,43,55
31,30,18
67,56,68
55,44,56
67,54,55
53,41,54
43,42,30
54,41,42
31,32,44
44,55,43
44,33,45
21,22,33
43,31,44
20,8,9
19,31,18
42,41,29
171,173,3
18,30,17
16,29,28
17,30,29
173,4,3
17,29,16
5,18,17
3,4,16
6,5,177
173,175,4
4,5,17
6,179,7
175,177,5
181,7,179
19,6,7
18,5,6
6,19,18
7,8,20
32,31,19
43,30,31
19,20,32
19,7,20
20,9,21
189,11,187
10,185,187
9,183,185
8,181,183
