126,138,139
128,141,129
137,125,124
182,184,139
79,80,68
114,113,126
25,26,14
91,104,92
25,14,13
5,16,17
66,78,67
40,41,29
30,18,29
94,82,81
30,42,31
35,36,24
39,50,51
57,68,69
184,140,139
79,67,78
127,140,128
142,190,143
192,143,190
105,118,106
144,132,131
131,119,118
55,66,67
103,102,115
52,64,53
77,78,66
78,77,89
113,114,101
127,114,126
102,103,90
127,126,139
113,101,100
100,99,112
63,62,74
109,163,165
85,97,86
122,135,123
161,85,159
37,151,153
73,61,157
61,73,62
157,159,73
50,62,51
74,86,75
63,75,64
86,98,87
104,116,117
58,69,70
41,53,42
67,79,68
42,53,54
65,76,77
30,41,42
64,65,53
26,15,14
17,29,18
2,3,173
24,12,23
19,7,18
181,179,6
23,12,11
183,7,8
8,20,9
12,146,191
24,148,146
72,71,84
35,46,47
80,92,93
81,82,69
108,164,162
128,140,141
107,108,95
96,95,108
120,132,166
107,120,108
120,164,108
83,82,95
162,96,108
96,83,95
154,60,156
168,132,144
141,140,186
186,188,141
184,186,140
143,130,142
103,116,104
104,117,105
119,132,120
142,130,129
130,117,129
141,142,129
143,144,131
188,142,141
188,190,142
192,144,143
192,168,144
119,131,132
130,143,131
166,132,168
164,120,166
94,106,107
118,117,130
95,94,107
105,117,118
107,119,120
107,106,119
93,105,106
93,92,105
131,118,130
119,106,118
117,116,129
127,139,140
115,127,128
115,114,127
128,116,115
128,129,116
92,104,105
92,79,91
90,91,79
92,80,79
78,90,79
103,104,91
77,88,89
101,114,102
90,103,91
115,116,103
101,102,90
114,115,102
126,125,138
126,113,125
112,124,125
125,113,112
139,138,182
136,124,123
138,180,182
138,137,180
180,137,178
138,125,137
137,136,178
178,136,176
137,124,136
136,135,176
134,135,122
174,176,135
110,123,111
135,136,123
100,87,99
111,124,112
98,111,99
123,124,111
110,109,121
134,174,135
121,133,134
133,170,172
172,134,133
174,134,172
122,121,134
121,167,133
110,121,122
165,167,121
133,167,170
161,97,85
165,121,109
163,97,161
110,98,109
97,163,109
97,98,86
97,109,98
123,110,122
111,98,110
74,85,86
73,159,85
50,61,62
73,85,74
50,49,61
155,157,61
49,155,61
37,25,151
155,49,153
38,26,37
37,49,38
37,153,49
49,50,38
62,63,51
38,50,39
63,64,52
63,74,75
62,73,74
75,76,64
75,87,76
86,87,75
100,112,113
98,99,87
111,112,99
89,88,101
76,87,88
88,100,101
88,87,100
90,89,101
90,78,89
65,77,66
76,88,77
54,65,66
64,76,65
54,53,65
41,40,52
55,54,66
41,30,29
55,43,54
20,21,9
54,43,42
34,45,46
17,28,29
28,40,29
27,28,16
39,51,40
27,39,28
51,63,52
41,52,53
40,51,52
28,39,40
27,38,39
27,26,38
27,15,26
151,25,149
37,26,25
25,13,149
4,15,16
13,147,149
1,13,2
147,13,1
1,169,145
147,1,145
13,14,2
1,2,171
14,15,3
6,7,181
15,27,16
6,179,5
16,28,17
5,4,16
3,15,4
175,3,4
2,14,3
173,171,2
169,1,171
175,173,3
175,4,177
18,6,17
177,4,5
5,179,177
17,6,5
18,7,6
7,183,181
31,19,30
8,7,19
43,31,42
19,18,30
44,32,43
32,20,31
19,20,8
19,31,20
22,10,21
185,8,9
8,185,183
12,24,146
185,9,187
10,9,21
191,11,12
189,187,10
189,11,191
23,35,24
36,148,24
34,35,23
56,45,44
22,23,11
22,34,23
33,34,22
56,55,67
10,22,11
21,33,22
189,10,11
187,9,10
20,32,21
43,55,44
43,32,31
33,21,32
57,45,56
33,32,44
55,56,44
70,82,83
67,68,56
80,81,69
58,57,69
68,80,69
45,57,46
56,68,57
33,45,34
33,44,45
59,47,58
35,34,46
72,156,60
46,57,58
58,70,71
69,82,70
93,81,80
93,94,81
82,94,95
93,106,94
160,96,162
84,71,83
84,160,158
84,83,96
71,70,83
160,84,96
158,72,84
156,72,158
59,58,71
36,48,150
47,46,58
72,60,59
48,36,47
72,59,71
60,154,152
60,48,59
36,35,47
59,48,47
150,148,36
152,150,48
60,152,48
