16,28,15
78,66,67
102,103,114
123,122,111
79,90,78
69,57,58
186,184,141
83,95,94
107,118,106
128,139,127
23,36,35
119,108,120
33,20,21
48,59,47
6,177,179
54,67,66
39,26,27
17,18,30
30,31,43
24,148,36
40,53,52
124,136,135
37,153,151
98,97,85
155,73,157
110,122,109
89,100,88
123,124,135
85,73,86
93,105,104
102,113,101
128,140,139
115,126,114
102,114,113
127,139,138
114,126,125
134,170,133
129,140,128
184,182,140
144,143,132
141,140,129
166,132,164
119,130,118
132,120,164
160,162,108
164,120,162
92,81,93
162,120,108
160,108,96
119,107,108
96,108,107
67,55,68
84,158,96
80,81,92
94,95,106
80,91,79
39,38,26
91,102,90
87,86,75
43,56,55
48,36,150
70,71,82
60,154,72
146,148,24
150,36,148
10,187,11
11,189,12
33,32,20
181,183,8
179,181,7
191,146,12
6,7,19
181,8,7
54,41,42
51,64,63
14,15,27
4,173,175
78,77,65
51,50,38
77,88,76
86,73,74
159,157,85
85,157,73
49,153,37
75,63,64
49,62,61
26,14,27
26,25,13
121,163,109
163,121,165
170,165,133
135,172,134
136,125,137
170,134,172
87,99,98
134,133,121
98,110,97
121,133,165
122,121,109
122,134,121
109,163,161
165,167,163
165,170,167
109,161,97
98,85,86
97,161,159
97,159,85
75,74,63
75,86,74
76,88,87
125,113,114
88,99,87
111,122,110
87,98,86
99,111,110
100,112,111
112,124,123
97,110,109
98,99,110
99,100,111
101,113,112
88,100,99
101,112,100
75,76,87
89,101,100
64,76,75
65,53,66
64,65,76
78,90,89
77,89,88
77,78,89
89,90,101
79,67,68
90,102,101
102,91,103
113,125,124
182,139,140
126,137,125
137,126,138
113,124,112
125,136,124
122,123,134
136,174,135
112,123,111
135,134,123
172,135,174
174,136,176
136,137,176
138,139,180
176,137,178
137,138,178
126,127,138
178,138,180
180,139,182
104,105,116
107,95,96
115,127,126
115,116,127
141,129,130
105,93,94
132,131,120
116,128,127
142,130,131
129,118,130
142,141,130
184,140,141
186,141,142
188,143,190
190,143,144
192,190,144
166,144,132
168,192,144
168,144,166
143,131,132
143,142,131
131,119,120
131,130,119
188,142,143
188,186,142
129,117,118
94,82,83
118,107,119
106,95,107
83,84,95
158,160,96
158,84,156
95,84,96
72,156,84
83,72,84
60,48,152
71,83,82
71,72,83
105,94,106
93,82,94
81,70,82
69,56,57
93,81,82
54,55,67
118,117,106
103,115,114
106,117,105
129,128,117
117,116,105
117,128,116
93,104,92
116,115,104
104,103,92
104,115,103
92,91,80
92,103,91
90,79,91
78,67,79
80,68,69
80,79,68
45,57,44
68,55,56
19,20,32
69,70,81
42,43,55
44,56,43
32,45,44
35,36,48
70,58,59
46,33,34
44,57,56
45,46,58
69,58,70
57,45,58
80,69,81
68,56,69
71,60,72
71,70,59
71,59,60
58,46,59
154,60,152
156,72,154
152,48,150
59,48,60
47,46,34
34,35,47
24,12,146
45,33,46
21,22,34
48,47,35
59,46,47
34,22,35
10,22,9
22,23,35
23,10,11
23,24,36
23,11,24
189,191,12
187,189,11
24,11,12
23,22,10
185,187,10
21,9,22
9,8,183
183,185,9
10,9,185
21,8,9
32,33,45
21,34,33
43,31,44
20,8,21
19,31,18
32,44,31
31,19,32
7,8,20
6,19,18
7,20,19
6,179,7
5,4,175
5,175,177
13,25,147
14,2,15
15,2,3
28,16,29
15,3,16
3,4,16
3,173,4
29,17,30
16,4,17
17,5,18
17,4,5
5,6,18
5,177,6
29,30,42
18,31,30
53,40,41
16,17,29
29,42,41
30,43,42
55,54,42
66,78,65
54,53,41
54,66,53
76,65,77
64,52,65
51,52,64
53,65,52
41,28,29
27,15,28
28,40,27
28,41,40
40,39,27
40,52,39
37,25,38
25,149,147
39,51,38
63,74,62
52,51,39
63,50,51
63,62,50
74,73,61
49,61,153
62,74,61
61,155,153
61,73,155
50,37,38
151,149,37
50,49,37
50,62,49
2,171,3
38,25,26
37,149,25
145,13,147
14,26,13
173,3,171
13,1,14
14,1,2
171,2,169
1,13,145
169,1,145
169,2,1
