86,87,99
37,26,38
121,122,134
51,63,62
147,1,13
19,18,7
105,116,104
93,92,81
143,142,131
54,66,65
75,63,64
27,26,15
35,24,36
55,56,67
69,70,81
102,90,91
20,8,9
58,46,47
29,18,30
55,67,66
61,62,74
153,151,37
25,149,13
37,25,26
13,1,2
16,28,15
39,28,40
124,123,111
61,50,62
76,65,77
88,87,76
74,62,63
121,165,163
85,159,157
86,73,74
155,153,49
73,86,85
111,98,99
100,89,101
91,80,92
122,121,109
90,101,89
182,140,184
127,126,115
116,115,104
126,125,114
126,114,115
113,101,102
103,102,91
79,80,91
52,53,64
67,78,66
119,108,120
131,120,132
94,93,82
92,80,81
141,129,130
81,82,93
186,141,142
132,120,164
160,162,108
164,120,162
120,108,162
142,143,188
160,108,96
83,95,94
84,96,95
150,36,148
72,84,83
84,95,83
32,33,44
81,70,82
104,92,93
102,114,113
63,51,52
29,17,18
43,32,44
181,183,7
6,18,17
185,10,9
9,21,20
23,11,12
35,36,47
13,14,25
49,37,38
151,149,25
37,49,153
74,63,75
157,155,73
38,50,49
38,39,50
26,25,14
37,151,25
147,13,149
147,145,1
14,13,2
145,169,1
173,2,171
14,2,3
1,169,171
2,1,171
6,17,5
15,14,3
40,28,29
27,15,28
53,52,41
39,27,28
52,51,40
38,27,39
15,26,14
27,38,26
155,61,73
50,51,62
39,51,50
39,40,51
41,52,40
64,63,52
42,53,41
54,65,53
53,65,64
66,78,77
88,77,89
65,66,77
113,112,101
77,78,89
64,76,75
64,65,76
100,88,89
76,77,88
74,87,86
75,76,87
112,99,100
87,88,100
87,74,75
73,61,74
49,61,155
49,50,61
73,85,157
97,98,110
98,85,86
97,159,85
159,97,161
85,98,97
86,99,98
161,97,109
163,109,121
163,161,109
97,110,109
136,135,123
123,122,110
122,109,110
125,124,113
110,98,111
112,124,111
137,138,178
111,123,110
182,139,140
134,170,133
123,135,122
121,133,167
121,167,165
133,121,134
133,170,167
124,136,123
138,126,127
134,172,170
134,135,172
136,137,176
136,176,174
176,137,178
136,125,137
135,136,174
124,125,136
172,135,174
134,122,135
139,127,128
139,138,127
180,138,139
137,126,138
138,180,178
180,139,182
143,132,144
140,141,184
184,141,186
142,141,130
140,139,128
140,129,141
128,116,117
140,128,129
127,115,116
117,106,118
115,114,103
105,94,106
128,127,116
104,103,92
104,115,103
114,125,113
126,137,125
124,112,113
111,99,112
112,100,101
99,87,100
90,102,101
103,114,102
78,90,89
90,79,91
103,91,92
90,78,79
67,79,78
67,68,79
79,68,80
22,21,10
68,69,80
80,69,81
56,44,45
35,46,34
117,105,106
95,96,107
83,94,82
95,107,106
95,106,94
118,129,117
93,105,104
93,94,105
128,117,129
116,105,117
107,118,106
119,120,131
118,130,129
119,107,108
131,142,130
188,186,142
188,143,190
190,143,144
144,132,166
192,144,168
192,190,144
143,131,132
130,118,119
130,119,131
118,107,119
71,83,82
72,60,154
71,72,83
96,108,107
158,96,84
158,160,96
144,166,168
132,164,166
158,84,156
84,72,156
60,48,152
156,72,154
71,60,72
48,36,150
154,60,152
71,59,60
58,70,69
60,59,48
58,69,57
71,70,59
71,82,70
68,57,69
45,33,34
70,58,59
46,45,34
48,47,36
58,57,46
59,47,48
59,58,47
152,48,150
148,24,146
146,24,12
148,36,24
146,12,191
12,11,191
9,10,21
23,12,24
187,11,10
189,191,11
11,23,10
34,33,22
46,35,47
22,10,23
35,23,24
35,22,23
35,34,22
46,57,45
68,56,57
31,43,42
57,56,45
43,54,42
67,56,68
55,44,56
42,54,53
55,66,54
31,42,30
30,18,19
55,43,44
55,54,43
21,32,20
33,45,44
21,33,32
21,22,33
41,30,42
41,40,29
16,17,28
41,29,30
28,17,29
3,4,15
3,173,175
177,4,175
3,2,173
16,4,5
16,15,4
4,3,175
7,18,6
17,16,5
5,177,179
5,4,177
7,6,181
179,6,5
179,181,6
8,19,7
32,43,31
19,31,30
19,20,31
31,20,32
19,8,20
7,183,8
8,185,9
11,187,189
187,10,185
185,8,183
